mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin	diminuendo_line
29	29	112	112	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	289									
29	29	114	114	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	290									
29	29	112	112	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	291									
29	29	114	114	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	292									
29	29	112	112	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	293							26		
29	29	114	114	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	294									
30	30	233/2	233/2	0.0	1/8	1/8	Tempo	4/4	1	1	0							T	48.0	0.0			
30	30	233/2	233/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	295	Ei-								
30	30	235/2	235/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	296	-ne								
30	30	118	118	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	297	Hoch-								
30	30	119	119	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	298	-zeit								
30	30	116	116	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	299									
30	30	118	118	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	300									
30	30	116	116	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	301									
30	30	118	118	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	302									
30	30	116	116	4.0	0	0	Chord	4/4	3	1	1	1	1	303									
30	30	116	116	1.5	0	0	Chord	4/4	3	2	3/8	1/4	3/2	304							27		
30	30	235/2	235/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	305							27		
30	30	118	118	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	306							27		
31	31	120	120	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	307	fährt								
31	31	121	121	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	308	da								
31	31	122	122	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	309	un-								
31	31	123	123	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	310	-ten								
31	31	120	120	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	311									
31	31	122	122	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	312									
31	31	120	120	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	313									
31	31	122	122	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	314									
31	31	120	120	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	315									
31	31	122	122	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	316									
31	31	120	120	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	317									
31	31	122	122	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	318							28		
32	32	124	124	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	319	auf								
32	32	251/2	251/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	320	dem								
32	32	126	126	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	321	Rhein								
32	32	127	127	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	322	im								
32	32	124	124	4.0	0	0	Chord	4/4	2	1	1	1	1	323									
32	32	124	124	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	324									
32	32	126	126	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	325									
32	32	124	124	4.0	0	0	Chord	4/4	3	1	1	1	1	326									
32	32	124	124	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	327							28		
32	32	126	126	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	328							28		
33	33	128	128	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	329	Son-								
33	33	129	129	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	330	-nen-								
33	33	130	130	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	331	-schei-								
33	33	131	131	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	332	-ne,								
33	33	128	128	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	333									
33	33	130	130	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	334									
33	33	128	128	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	335									
33	33	130	130	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	336									
33	33	128	128	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	337									
33	33	130	130	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	338									
33	33	128	128	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	339									
33	33	130	130	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	340							29		
34	34	132	132	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	341	Mu-								
34	34	267/2	267/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	342	-si-								
34	34	134	134	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	343	-kan-								
34	34	135	135	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	344	-ten								
34	34	132	132	4.0	0	0	Chord	4/4	2	1	1	1	1	345									
34	34	132	132	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	346									
34	34	134	134	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	347									
34	34	132	132	4.0	0	0	Chord	4/4	3	1	1	1	1	348									
34	34	132	132	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	349							29		
34	34	134	134	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	350							29		
35	35	136	136	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	351	spie-								
35	35	137	137	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	352	-len								
35	35	138	138	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	353	mun-								
35	35	139	139	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	354	-ter,								
35	35	136	136	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	355									
35	35	138	138	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	356							30		
35	35	136	136	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	357									
35	35	136	136	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	358									
35	35	138	138	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	359			articAccentBelow						
35	35	136	136	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	360									
36	36	140	140	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	361	und								
36	36	141	141	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	362	die								
36	36	142	142	0.0	1/2	1/2	Tempo	4/4	1	1	0							T	44.0	0.0			
36	36	142	142	0.0	1/2	1/2	Spanner	4/4	1	1	0												0
36	36	142	142	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	363	schö-								0
36	36	143	143	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	364	-ne								0
36	36	140	140	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	365							30		
36	36	142	142	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	366							30		
36	36	140	140	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	367									
36	36	142	142	0.0	1/2	1/2	Spanner	4/4	3	1	0												1
36	36	142	142	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	368									1
37	37	144	144	0.0	0	0	Tempo	4/4	1	1	0							T	43.0	0.0			0
37	37	144	144	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	369	Braut,								0
37	37	147	147	0.0	3/4	3/4	Tempo	4/4	1	1	0							T	42.0	0.0			0
37	37	147	147	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	370	die								0
37	37	144	144	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	371									
37	37	147	147	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	372									
37	37	144	144	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	373									
37	37	146	146	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	374									
37	37	144	144	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	375									1
37	37	146	146	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	376									1
38	38	148	148	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	377	wei-						31		0
38	38	150	150	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	378							31		0
38	38	151	151	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	379									0
38	38	148	148	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	380							32		
38	38	150	150	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	381							32		
38	38	151	151	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	382							32		
38	38	148	148	4.0	0	0	Chord	4/4	2	2	1	1	1	383									
38	38	148	148	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	384									1
38	38	150	150	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	385									1
39	39	152	152	0.0	0	0	Spanner	4/4	1	1	0												
39	39	152	152	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	386	-net.								
39	39	152	152	4.0	0	0	Chord	4/4	2	1	1	1	1	387									
39	39	152	152	0.0	0	0	Spanner	4/4	3	1	0												
39	39	152	152	4.0	0	0	Chord	4/4	3	1	1	1	1	388									
