mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	255															
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	256															
22	22	63	63	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	257															1
22	22	64	64	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	258															1
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	259															1
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	260															1
22	22	63	63	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	261															
22	22	64	64	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	262															
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	263															
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	264															
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	265	Und														
23	23	66	66	0.0	0	0	Spanner	6/8	2	1	0																		
23	23	66	66	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	266															
23	23	67	67	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	267															
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	268															
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	269															
23	23	66	66	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	270															
23	23	67	67	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	271															
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	272															
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	273															
24	24	69	69	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	274	eh'														
24	24	139/2	139/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	275	ich's														
24	24	70	70	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	276	ge-														
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	277	-dacht,														
24	24	143/2	143/2	0.0	5/8	5/8	Spanner	6/8	1	1	0																3		
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	278	war												3		
24	24	69	69	0.0	0	0	Dynamic	6/8	2	1	0					pp													
24	24	69	69	0.0	0	0	Spanner	6/8	2	1	0																4		
24	24	69	69	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	279													4		
24	24	69	69	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	280															
24	24	70	70	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	281															
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	282															
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	283															
24	24	69	69	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	284															
25	25	72	72	0.0	0	0	Spanner	6/8	1	1	0																		
25	25	72	72	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	285	al-														
25	25	145/2	145/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	286	-les														
25	25	73	73	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	287	ver-														
25	25	147/2	147/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	288	-hallt.														
25	25	149/2	149/2	0.0	5/8	5/8	Tempo	6/8	1	1	0								Im	120.0			1.0						
25	25	72	72	0.0	0	0	Spanner	6/8	2	1	0																		
25	25	72	72	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	289															
25	25	149/2	149/2	0.0	5/8	5/8	Dynamic	6/8	2	2	0					p													
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	290															
25	25	72	72	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	291															
25	25	73	73	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	292															
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	293															
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	294															
25	25	72	72	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	295															
26	26	75	75	0.0	0	0	Tempo	6/8	1	1	0								Tempo	120.0			1.0						
26	26	75	75	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	296										5					
26	26	75	75	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	297															
26	26	76	76	0.0	1/4	1/4	Spanner	6/8	2	2	0																	5	
26	26	76	76	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	298														5	
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	299														5	
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	300														5	
26	26	75	75	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	301															
26	26	75	75	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	302															
26	26	76	76	0.5	1/4	1/4	Chord	6/8	3	2	1/8	1/8	1	303															
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	304															
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	305															
27	27	78	78	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	306															
27	27	157/2	157/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	307															
27	27	79	79	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	308															
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	309			articStaccatoBelow												
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	310			articStaccatoBelow												
27	27	78	78	0.0	0	0	Spanner	6/8	2	2	0																		
27	27	78	78	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	311															
27	27	79	79	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	312															
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	313			articStaccatoBelow												
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	314			articStaccatoBelow												
27	27	78	78	0.5	0	0	Chord	6/8	3	2	1/8	1/8	1	315															
28	28	81	81	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	316			articStaccatoBelow												
28	28	82	82	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	317															
28	28	165/2	165/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																	6	
28	28	165/2	165/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	318														6	
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	319														6	
28	28	81	81	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	320			articStaccatoBelow												
28	28	82	82	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	321															
28	28	165/2	165/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	322															
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	323															
29	29	173/2	173/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0					p													
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	324	Die														
29	29	84	84	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	325														6	
29	29	85	85	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	326														6	
29	29	171/2	171/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	327														6	
29	29	173/2	173/2	0.0	5/8	5/8	Spanner	6/8	2	1	0																		
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	328															
29	29	84	84	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	329															
29	29	85	85	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	330															
29	29	171/2	171/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	331															
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	332															
30	30	87	87	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	333	Nacht														
30	30	88	88	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	334	be-														
30	30	177/2	177/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																5		
30	30	177/2	177/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	335	-de-												5		
30	30	89	89	0.0	1/2	1/2	Spanner	6/8	1	1	0																		
30	30	89	89	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	336	-cket														
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	337	die														
30	30	87	87	0.0	0	0	Spanner	6/8	2	1	0																6		
30	30	87	87	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	338													6		
30	30	87	87	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	339															
30	30	88	88	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	340															
30	30	177/2	177/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	341															
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	342															
30	30	87	87	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	343															
31	31	90	90	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	344	Rund-									6					
31	31	91	91	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	345															
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	346	-de,														
31	31	185/2	185/2	0.0	5/8	5/8	Tempo	6/8	1	1	0								ImTempo	120.0			1.0						
31	31	90	90	0.0	0	0	Spanner	6/8	2	1	0																		
31	31	90	90	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	347															
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	348															
31	31	185/2	185/2	0.0	5/8	5/8	Dynamic	6/8	2	1	0					p													
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	349															
31	31	183/2	183/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	350															
31	31	90	90	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	351															
31	31	91	91	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	352															
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	353															
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	354															
31	31	90	90	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	355															
32	32	93	93	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	356															
32	32	94	94	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	357															
32	32	189/2	189/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	358															
32	32	93	93	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	359															
32	32	94	94	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	360															
32	32	189/2	189/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	361															
32	32	191/2	191/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	362															
32	32	93	93	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	363															
32	32	189/2	189/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	364															
32	32	93	93	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	365															
32	32	94	94	0.5	1/4	1/4	Chord	6/8	3	2	1/8	1/8	1	366															
32	32	189/2	189/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	367															
32	32	191/2	191/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	368															
33	33	96	96	0.0	0	0	Dynamic	6/8	1	1	0					p													
33	33	96	96	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	369	nur														
33	33	195/2	195/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	370	von														
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	371	den														
33	33	96	96	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	372															
33	33	97	97	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	373															
33	33	195/2	195/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	374															
33	33	96	96	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	375															
33	33	97	97	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	376															
33	33	195/2	195/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	377															
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	378															
33	33	96	96	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	379															
33	33	97	97	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	380															
33	33	195/2	195/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	381															
33	33	96	96	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	382															
33	33	97	97	0.5	1/4	1/4	Chord	6/8	3	2	1/8	1/8	1	383															
33	33	195/2	195/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	384															
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	385															
34	34	99	99	0.0	0	0	Spanner	6/8	1	1	0																	7	
34	34	99	99	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	386	Ber-													7	
34	34	201/2	201/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	387	-gen													7	
34	34	203/2	203/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	388	noch													7	
34	34	99	99	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	389															
34	34	100	100	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	390															
34	34	201/2	201/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	391															
34	34	99	99	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	392															
34	34	100	100	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	393															
34	34	201/2	201/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	394															
34	34	203/2	203/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	395															
34	34	99	99	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	396															
34	34	100	100	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	397															
34	34	201/2	201/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	398															
34	34	99	99	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	399															
34	34	100	100	0.5	1/4	1/4	Chord	6/8	3	2	1/8	1/8	1	400															
34	34	201/2	201/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	401															
34	34	203/2	203/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	402															
35	35	102	102	0.0	0	0	Spanner	6/8	1	1	0																		
35	35	102	102	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	403	rau-														
35	35	207/2	207/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	404	-schet														
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	405	der														
35	35	102	102	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	406															
35	35	103	103	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	407															
35	35	207/2	207/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	408															
35	35	102	102	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	409															
35	35	103	103	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	410															
35	35	207/2	207/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	411															
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	412															
35	35	102	102	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	413															
35	35	103	103	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	414															
35	35	207/2	207/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	415															
35	35	102	102	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	416															
35	35	103	103	0.5	1/4	1/4	Chord	6/8	3	2	1/8	1/8	1	417															
35	35	207/2	207/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	418															
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	419															
36	36	105	105	0.0	0	0	Spanner	6/8	1	1	0																	8	
36	36	105	105	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	420	Wald,									7				8	
36	36	213/2	213/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																		
36	36	213/2	213/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	421															
36	36	105	105	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	422															
36	36	106	106	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	423															
36	36	213/2	213/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	424															
36	36	105	105	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	425															
36	36	106	106	0.0	1/4	1/4	Spanner	6/8	2	2	0																	9	
36	36	106	106	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	426														9	
36	36	213/2	213/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	427														9	
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	428														9	
36	36	105	105	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	429															
36	36	106	106	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	430															
36	36	213/2	213/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	431															
36	36	105	105	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	432															
36	36	106	106	0.5	1/4	1/4	Chord	6/8	3	2	1/8	1/8	1	433															
36	36	213/2	213/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	434															
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	435															
37	37	219/2	219/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	436	und														
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	437	mich														
37	37	108	108	0.0	0	0	Spanner	6/8	2	1	0																	10	
37	37	108	108	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	438														10	
37	37	109	109	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	439														10	
37	37	219/2	219/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	440														10	
37	37	221/2	221/2	0.0	5/8	5/8	Spanner	6/8	2	1	0																		
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	441															
37	37	108	108	0.0	0	0	Spanner	6/8	2	2	0																		
37	37	108	108	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	442															
37	37	109	109	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	443															
37	37	219/2	219/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	444															
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	445															
37	37	108	108	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	446															
37	37	109	109	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	447															
37	37	219/2	219/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	448															
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	449															
37	37	108	108	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	450															
37	37	109	109	0.5	1/4	1/4	Chord	6/8	3	2	1/8	1/8	1	451															
37	37	219/2	219/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	452															
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	453															
38	38	111	111	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	454	schau-														
38	38	225/2	225/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	455	-ert's														
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	456	im														
38	38	111	111	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	457															
38	38	225/2	225/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																	11	
38	38	225/2	225/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	458										8				11	
38	38	111	111	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	459															
38	38	225/2	225/2	0.0	3/8	3/8	Dynamic	6/8	3	1	0					p													
38	38	225/2	225/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	460															
38	38	111	111	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	461															
38	38	225/2	225/2	1.5	3/8	3/8	Chord	6/8	3	2	3/8	1/4	3/2	462										9					
39	39	114	114	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	463	Her-														
39	39	231/2	231/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	464	-zens-														
39	39	114	114	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	465										8				11	
39	39	231/2	231/2	0.0	3/8	3/8	Spanner	6/8	2	1	0													8					
39	39	231/2	231/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	466										8					
39	39	114	114	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	467															
39	39	231/2	231/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	468															
39	39	114	114	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	469										9					
39	39	231/2	231/2	1.5	3/8	3/8	Chord	6/8	3	2	3/8	1/4	3/2	470										9					
40	40	117	117	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	471	-grund-									10					
40	40	117	117	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	472										8					
40	40	117	117	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	473															
40	40	117	117	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	474										9					
41	41	120	120	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	475										10					
41	41	243/2	243/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	476															
41	41	120	120	0.0	0	0	Spanner	6/8	2	1	0													8					2
41	41	120	120	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	477										8					2
41	41	120	120	1.5	0	0	Chord	6/8	2	2	3/8	1/4	3/2	478															2
41	41	243/2	243/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	479															2
41	41	120	120	3.0	0	0	Chord	6/8	2	3	3/4	1/2	3/2	480															2
41	41	120	120	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	481															
41	41	120	120	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	482										9					
42	42	123	123	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	483	-de,														
42	42	123	123	0.0	0	0	Spanner	6/8	2	1	0																		
42	42	123	123	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	484															
42	42	123	123	3.0	0	0	Chord	6/8	2	2	3/4	1/2	3/2	485										11					
42	42	123	123	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	486															
43	43	255/2	255/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	487	und														
43	43	257/2	257/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	488	mich														
43	43	126	126	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	489															
43	43	126	126	1.5	0	0	Chord	6/8	2	2	3/8	1/4	3/2	490															
43	43	255/2	255/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	491															
43	43	257/2	257/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	492															
43	43	126	126	3.0	0	0	Chord	6/8	2	3	3/4	1/2	3/2	493															
43	43	126	126	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	494															
44	44	129	129	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	495	schau-														
44	44	129	129	0.0	0	0	Dynamic	6/8	2	1	0					pp													
44	44	129	129	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	496															
44	44	129	129	1.5	0	0	Chord	6/8	2	2	3/8	1/4	3/2	497															
44	44	261/2	261/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	498															
44	44	263/2	263/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	499															
44	44	129	129	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	500															
45	45	132	132	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	501	-ert's									12					
45	45	267/2	267/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	502															
45	45	269/2	269/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	503	im														
45	45	132	132	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	504										13					
45	45	132	132	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	505															
45	45	267/2	267/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	506															
45	45	269/2	269/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	507															
46	46	135	135	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	508	Her-									14					
46	46	135	135	0.0	0	0	Spanner	6/8	2	1	0																		3
46	46	135	135	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	509															3
46	46	135	135	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	510															
47	47	138	138	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	511															
47	47	279/2	279/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	512															
47	47	281/2	281/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	513	-zens														
47	47	138	138	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	514															3
47	47	281/2	281/2	0.0	5/8	5/8	Spanner	6/8	2	1	0																		
47	47	138	138	1.5	0	0	Chord	6/8	2	2	3/8	1/4	3/2	515															
47	47	279/2	279/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	516															
47	47	281/2	281/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	517															
