mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	264										14			1	
21	21	81	81	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	265										14			1	
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	266										14			1	
21	21	82	82	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	267										14			1	
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	268										14			1	
21	21	83	83	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	269										14			1	
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	270										14			1	
22	22	85	85	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	271	Stim-													
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	272	-men													
22	22	86	86	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	273	hin													
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	274	und													
22	22	87	87	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	275	wie-													
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	276	-der													
22	22	84	84	4.0	0	0	Chord	4/4	2	1	1		1	1	277														
22	22	86	86	0.0	1/2	1/2	Dynamic	4/4	2	1	0						pp												
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	278														
22	22	84	84	0.0	0	0	Spanner	4/4	3	1	0																		
22	22	84	84	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	279														
22	22	86	86	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	280														
23	23	88	88	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=58	58.0	𝅘𝅥	58.0	0.0					
23	23	88	88	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	281	wan-													
23	23	89	89	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0					
23	23	89	89	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	282	-dern.													
23	23	90	90	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=54	54.0	𝅘𝅥	54.0	0.0					
23	23	177/2	177/2	0.0	1/8	1/8	StaffText	4/4	2	1	0								ritard.										
23	23	177/2	177/2	1.5	1/8	1/8	Chord	4/4	2	1	3/8		1/4	3/2	283										15				
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	284										15				
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	285										15				
23	23	88	88	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	286														
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	287														
23	23	89	89	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	288														
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	289														
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	290														
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	3	1/4		1/4	1	291														
23	23	88	88	4.0	0	0	Chord	4/4	2	4	1		1	1	292														
23	23	88	88	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	293														
23	23	90	90	0.0	1/2	1/2	Spanner	4/4	3	1	0																		1
23	23	90	90	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	294														1
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	295														1
23	23	91	91	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	296														1
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	297														1
24	24	92	92	0.0	0	0	Dynamic	4/4	1	1	0						p												
24	24	92	92	0.0	0	0	Tempo	4/4	1	1	0									ImTempo	70.0			1.0					
24	24	92	92	0.0	0	0	Tempo	4/4	1	1	0									ImTempo	70.0			1.0					
24	24	92	92	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	298	Hast													
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	299	du													
24	24	94	94	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	300	ei-													
24	24	95	95	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	301	-nen													
24	24	185/2	185/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	302										16				
24	24	93	93	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	303										16				
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	304										16				
24	24	94	94	0.0	1/2	1/2	Spanner	4/4	2	1	0														16			2	
24	24	94	94	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	305										16			2	
24	24	189/2	189/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	306										16			2	
24	24	95	95	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	307										16			2	
24	24	191/2	191/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0						p								16				
24	24	191/2	191/2	0.0	7/8	7/8	Spanner	4/4	2	1	0														16				
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	308										16				
24	24	185/2	185/2	1.5	1/8	1/8	Chord	4/4	2	2	3/8		1/4	3/2	309														
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	310														
24	24	92	92	0.0	0	0	Spanner	4/4	3	1	0																		
24	24	92	92	4.0	0	0	Chord	4/4	3	1	1		1	1	311														
25	25	96	96	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	312	Freund													
25	25	195/2	195/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	313	hie-													
25	25	98	98	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	314	-nie-													
25	25	99	99	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	315	-den,													
25	25	96	96	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	316										16				
25	25	195/2	195/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	317										16				
25	25	98	98	0.0	1/2	1/2	Spanner	4/4	2	1	0														16			3	
25	25	98	98	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	318										16			3	
25	25	199/2	199/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0						mp								16				
25	25	199/2	199/2	0.0	7/8	7/8	Spanner	4/4	2	1	0														16				
25	25	199/2	199/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	319										16				
25	25	96	96	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	320														
25	25	193/2	193/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	321														
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	322														
25	25	98	98	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	323														
25	25	197/2	197/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	324														
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	325														
25	25	96	96	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	326														
25	25	193/2	193/2	1.0	1/8	1/8	Chord	4/4	3	1	1/4		1/4	1	327														
25	25	195/2	195/2	1.0	3/8	3/8	Chord	4/4	3	1	1/4		1/4	1	328														
25	25	197/2	197/2	1.0	5/8	5/8	Chord	4/4	3	1	1/4		1/4	1	329														
25	25	199/2	199/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	330														
26	26	100	100	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	331	trau'													
26	26	203/2	203/2	0.0	3/8	3/8	Spanner	4/4	1	1	0																	4	
26	26	203/2	203/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	332	ihm												4	
26	26	102	102	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	333	nicht												4	
26	26	103	103	0.0	3/4	3/4	Spanner	4/4	1	1	0																		
26	26	103	103	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	334	zu													
26	26	100	100	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	335														
26	26	102	102	0.0	1/2	1/2	Spanner	4/4	2	1	0																	5	
26	26	102	102	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	336										17			5	
26	26	205/2	205/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	337										17			5	
26	26	103	103	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	338										17			5	
26	26	207/2	207/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	339										17			5	
26	26	100	100	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	340													5	
26	26	201/2	201/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	341													5	
26	26	101	101	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	342													5	
26	26	203/2	203/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	343													5	
26	26	205/2	205/2	1.5	5/8	5/8	Chord	4/4	2	2	3/8		1/4	3/2	344													5	
26	26	100	100	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	345														
26	26	101	101	3.0	1/4	1/4	Chord	4/4	3	1	3/4		1/2	3/2	346														
27	27	104	104	0.0	0	0	Dynamic	4/4	1	1	0						mf												
27	27	104	104	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	347	die-									18				
27	27	209/2	209/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	348														
27	27	211/2	211/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	349	-ser													
27	27	106	106	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	350	Stun-													
27	27	215/2	215/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	351	-de,													
27	27	104	104	0.0	0	0	Dynamic	4/4	2	1	0						mf								17				
27	27	104	104	0.0	0	0	Spanner	4/4	2	1	0														17				
27	27	104	104	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	352										17				
27	27	211/2	211/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	353										17				
27	27	106	106	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	354										17				
27	27	215/2	215/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	355														
27	27	104	104	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	356														
27	27	209/2	209/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	357														
27	27	105	105	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	358														
27	27	106	106	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	359														
27	27	213/2	213/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	360														
27	27	107	107	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	361														
27	27	104	104	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	362														
27	27	209/2	209/2	1.0	1/8	1/8	Chord	4/4	3	1	1/4		1/4	1	363														
27	27	211/2	211/2	1.0	3/8	3/8	Chord	4/4	3	1	1/4		1/4	1	364														
27	27	213/2	213/2	1.0	5/8	5/8	Chord	4/4	3	1	1/4		1/4	1	365														
27	27	215/2	215/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	366														
28	28	108	108	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	367	freund-													
28	28	219/2	219/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	368	-lich													
28	28	110	110	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	369	wohl													
28	28	223/2	223/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	370	mit													
28	28	108	108	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	371														
28	28	219/2	219/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	372										19				
28	28	110	110	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	373														
28	28	223/2	223/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	374										20				
28	28	108	108	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	375														
28	28	217/2	217/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	376														
28	28	109	109	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	377														
28	28	110	110	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	378														
28	28	221/2	221/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	379														
28	28	111	111	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	380														
28	28	108	108	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	381														
28	28	217/2	217/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	382										21				
28	28	109	109	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	383										21				
28	28	110	110	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	384										21				
28	28	221/2	221/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	385										21				
28	28	111	111	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	386										21, 22				
29	29	112	112	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	387	Aug'													
29	29	227/2	227/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	388	und													
29	29	114	114	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	389	Mun-													
29	29	231/2	231/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	390	-de,													
29	29	112	112	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	391														
29	29	227/2	227/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	392										23				
29	29	114	114	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	393														
29	29	231/2	231/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	394										24				
29	29	112	112	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	395														
29	29	225/2	225/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	396														
29	29	113	113	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	397														
29	29	114	114	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	398														
29	29	229/2	229/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	399														
29	29	115	115	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	400														
29	29	112	112	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	401										21				
29	29	225/2	225/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	402										21				
29	29	113	113	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	403										21				
29	29	114	114	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	404										21				
29	29	229/2	229/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	405										21				
29	29	115	115	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	406														
30	30	116	116	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	407	sinnt													
30	30	235/2	235/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	408	er													
30	30	118	118	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	409	Krieg													
30	30	239/2	239/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	410	im													
30	30	116	116	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	411														
30	30	235/2	235/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	412										25				
30	30	118	118	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	413														
30	30	239/2	239/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	414										26				
30	30	116	116	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	415														
30	30	233/2	233/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	416														
30	30	117	117	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	417														
30	30	118	118	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	418														
30	30	237/2	237/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	419														
30	30	119	119	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	420														
30	30	116	116	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	421														
30	30	233/2	233/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	422										27				
30	30	117	117	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	423										27				
30	30	118	118	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	424										27				
30	30	237/2	237/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	425										27				
30	30	119	119	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	426														
31	31	120	120	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	427	tück'-													
31	31	243/2	243/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	428	-schen													
31	31	122	122	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	429	Frie-													
31	31	247/2	247/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	430	-den.													
31	31	120	120	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	431														
31	31	243/2	243/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	432										28				
31	31	122	122	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	433														
31	31	247/2	247/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	434														
31	31	120	120	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	435														
31	31	241/2	241/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	436														
31	31	121	121	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	437														
31	31	122	122	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	438														
31	31	245/2	245/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	439														
31	31	123	123	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	440														
31	31	120	120	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	441														
31	31	241/2	241/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	442										29				
31	31	121	121	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	443										29				
31	31	122	122	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	444										29				
31	31	245/2	245/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	445										29				
31	31	123	123	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	446														
32	32	124	124	0.0	0	0	Dynamic	4/4	2	1	0						pp												
32	32	124	124	4.0	0	0	Chord	4/4	2	1	1		1	1	447														
32	32	249/2	249/2	0.0	1/8	1/8	Spanner	4/4	2	1	0																	6	
32	32	255/2	255/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																		
32	32	249/2	249/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	448										30				
32	32	125	125	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	449										30				
32	32	251/2	251/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	450										30				
32	32	126	126	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	451										30				
32	32	253/2	253/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	452										30				
32	32	127	127	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	453										30				
32	32	255/2	255/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	454										30				
32	32	126	126	2.0	1/2	1/2	Chord	4/4	2	3	1/2		1/2	1	455														
32	32	124	124	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	456														
32	32	249/2	249/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	457														
32	32	125	125	0.0	1/4	1/4	Spanner	4/4	3	1	0															0	0		
32	32	125	125	3.0	1/4	1/4	Chord	4/4	3	1	3/4		1/2	3/2	458											0	0		
33	33	128	128	0.0	0	0	Dynamic	4/4	1	1	0						p												
33	33	128	128	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	459	Was													
33	33	129	129	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	460	heut'													
33	33	130	130	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	461	ge-													
33	33	263/2	263/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	462	-het													
33	33	128	128	0.0	0	0	Dynamic	4/4	2	1	0						p												
33	33	128	128	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	463														
33	33	257/2	257/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	464														
33	33	129	129	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	465														
33	33	259/2	259/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	466														
33	33	130	130	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	467														
33	33	261/2	261/2	0.0	5/8	5/8	Spanner	4/4	2	1	0																	7	
33	33	261/2	261/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	468													7	
33	33	131	131	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	469													7	
33	33	263/2	263/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	470													7	
33	33	128	128	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	471											0	0		
33	33	130	130	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	472										31	0	0		
34	34	132	132	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	473	mü-													
34	34	267/2	267/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	474	-de													
34	34	134	134	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	475	un-													
34	34	135	135	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	476	-ter,													
34	34	132	132	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	477													7	
34	34	265/2	265/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	478													7	
34	34	133	133	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	479													7	
34	34	267/2	267/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	480													7	
34	34	134	134	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	481													7	
34	34	269/2	269/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	482													7	
34	34	135	135	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	483													7	
34	34	271/2	271/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0						mf												
34	34	271/2	271/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																		
34	34	271/2	271/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	484														
34	34	132	132	0.0	0	0	Spanner	4/4	3	1	0														31				
34	34	132	132	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	485										31				
34	34	134	134	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	486										31				
35	35	136	136	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	487	hebt													
35	35	275/2	275/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	488	sich													
35	35	138	138	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	489	mor-													
35	35	139	139	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	490	-gen													
35	35	136	136	0.0	0	0	Spanner	4/4	2	1	0																		2
35	35	136	136	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	491														2
35	35	273/2	273/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	492														2
35	35	137	137	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	493														2
35	35	275/2	275/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	494														2
35	35	138	138	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	495														2
35	35	277/2	277/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	496														2
35	35	139	139	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	497														2
35	35	279/2	279/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	498														2
35	35	136	136	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	499										31				
35	35	138	138	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	500														
36	36	140	140	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	501	neu													
36	36	283/2	283/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	502	ge-													
36	36	142	142	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	503	-bo-													
36	36	143	143	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	504	-ren.													
36	36	140	140	0.0	0	0	Dynamic	4/4	2	1	0						p												
36	36	140	140	0.0	0	0	Spanner	4/4	2	1	0																		
36	36	140	140	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	505														
36	36	281/2	281/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	506														
36	36	141	141	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	507														
36	36	283/2	283/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	508														
36	36	142	142	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	509														
36	36	285/2	285/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	510														
36	36	143	143	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	511														
36	36	287/2	287/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	512														
36	36	140	140	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	513														
36	36	142	142	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	514														
37	37	144	144	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	515	Man-													
37	37	291/2	291/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	516	-ches													
37	37	146	146	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	517	geht													
37	37	147	147	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	518	in													
37	37	144	144	0.0	0	0	Spanner	4/4	2	1	0																	8	
37	37	144	144	4.0	0	0	Chord	4/4	2	1	1		1	1	519													8	
37	37	144	144	4.0	0	0	Chord	4/4	3	1	1		1	1	520														
